rating_id,rater_id,ratee_id,overall_rate
33305001,555127,20160,1
33305002,555359,20160,2
33305003,553612,20004,0
33305004,554799,20091,0
33305005,551841,20200,3
33305006,553127,20201,3
33305007,551300,20228,0
33305008,555843,20241,4
33305009,554264,20187,5
33305010,551567,20153,4
33305011,555590,20206,1
33305012,553699,20028,1
33305013,555922,20171,4
33305014,555016,20139,3
33305015,553765,20087,0
33305016,552954,20056,0
33305017,554072,20042,4
33305018,555719,20011,3
33305019,552940,20171,2
33305020,551528,20161,5
33305021,555581,20219,1
33305022,554500,20202,3
33305023,552633,20131,3
33305024,551167,20277,1
33305025,551474,20068,1
33305026,551715,20032,4
33305027,553085,20097,1
33305028,553101,20181,5
33305029,554180,20164,2
33305030,554867,20212,3
33305031,554198,20014,1
33305032,551213,20056,2
33305033,551808,20278,4
33305034,555656,20146,1
33305035,552895,20206,0
33305036,553436,20037,2
33305037,551314,20154,0
33305038,551807,20001,4
33305039,554069,20240,3
33305040,551460,20093,5
33305041,555857,20020,0
33305042,552564,20257,3
33305043,555579,20145,2
33305044,551237,20225,3
33305045,554615,20277,2
33305046,554667,20105,4
33305047,551313,20169,3
33305048,555097,20277,5
33305049,553948,20033,5
33305050,553232,20065,4
33305051,554949,20088,1
33305052,554127,20001,0
33305053,552532,20071,0
33305054,552221,20100,5
33305055,555928,20123,4
33305056,551036,20273,5
33305057,552069,20292,2
33305058,555243,20059,5
33305059,552467,20016,2
33305060,555066,20086,0
33305061,552818,20276,0
33305062,555781,20030,4
33305063,552178,20122,0
33305064,552310,20278,5
33305065,555641,20056,4
33305066,555358,20236,4
33305067,554866,20125,2
33305068,555246,20252,3
33305069,554201,20120,0
33305070,552179,20217,2
33305071,551085,20058,3
33305072,551964,20247,4
33305073,552811,20222,3
33305074,555733,20120,5
33305075,554520,20153,1
33305076,554402,20192,2
33305077,551762,20216,2
33305078,551527,20271,5
33305079,552696,20240,2
33305080,552719,20094,4
33305081,553337,20014,1
33305082,553938,20196,5
33305083,552639,20167,3
33305084,553038,20210,1
33305085,551544,20247,2
33305086,552562,20214,1
33305087,554538,20213,5
33305088,554721,20076,1
33305089,551362,20089,2
33305090,551147,20271,4
33305091,553949,20100,4
33305092,554420,20145,4
33305093,553756,20090,2
33305094,551241,20191,2
33305095,555267,20127,4
33305096,554631,20161,2
33305097,552586,20034,3
33305098,551830,20285,0
33305099,554849,20157,0
33305100,551574,20267,3
33305101,553861,20075,1
33305102,555817,20259,5
33305103,555114,20040,2
33305104,554564,20180,5
33305105,555523,20154,5
33305106,555190,20282,2
33305107,554365,20150,2
33305108,553050,20243,1
33305109,553621,20085,2
33305110,555615,20248,5
33305111,553712,20156,5
33305112,554432,20212,2
33305113,553863,20245,4
33305114,554484,20187,5
33305115,554487,20266,0
33305116,554103,20006,3
33305117,554693,20078,1
33305118,552058,20206,1
33305119,552482,20054,4
33305120,552533,20190,2
33305121,552545,20107,5
33305122,551042,20114,4
33305123,553459,20099,2
33305124,551690,20060,1
33305125,554104,20109,2
33305126,551774,20295,1
33305127,554473,20217,0
33305128,555402,20012,3
33305129,554977,20289,2
33305130,551988,20282,4
33305131,551282,20005,3
33305132,555824,20170,0
33305133,552558,20147,0
33305134,553377,20044,5
33305135,555819,20261,1
33305136,554766,20254,3
33305137,551211,20005,2
33305138,552084,20166,3
33305139,555020,20081,3
33305140,551084,20060,5
33305141,555252,20147,0
33305142,551657,20245,0
33305143,552872,20179,1
33305144,555992,20059,1
33305145,551288,20149,3
33305146,551197,20051,2
33305147,553731,20295,4
33305148,552042,20095,4
33305149,551942,20267,4
33305150,552690,20182,5
33305151,554846,20297,1
33305152,554048,20162,5
33305153,553279,20233,0
33305154,551149,20023,3
33305155,555911,20273,2
33305156,551305,20063,3
33305157,553361,20140,0
33305158,555746,20212,1
33305159,553366,20096,2
33305160,552689,20182,3
33305161,551484,20080,3
33305162,553242,20122,0
33305163,553498,20217,2
33305164,553405,20059,3
33305165,554365,20059,2
33305166,554721,20218,5
33305167,554066,20200,1
33305168,555413,20150,2
33305169,552388,20253,3
33305170,555616,20127,1
33305171,552916,20139,3
33305172,551399,20125,4
33305173,553628,20045,0
33305174,552168,20075,4
33305175,552784,20256,3
33305176,551665,20257,3
33305177,555530,20138,3
33305178,554396,20007,4
33305179,553862,20242,2
33305180,553240,20093,0
33305181,554138,20048,0
33305182,551555,20246,3
33305183,552875,20010,1
33305184,553055,20016,1
33305185,551175,20293,3
33305186,551895,20062,5
33305187,551504,20125,4
33305188,555551,20125,5
33305189,554172,20011,1
33305190,553114,20210,1
33305191,552990,20280,1
33305192,555499,20056,2
33305193,551570,20057,0
33305194,553123,20236,3
33305195,555292,20075,2
33305196,553885,20039,2
33305197,555295,20049,3
33305198,551606,20022,3
33305199,551513,20131,1
33305200,554426,20141,5
33305201,551929,20133,1
33305202,555390,20275,2
33305203,551566,20279,2
33305204,553220,20257,1
33305205,552777,20025,1
33305206,551398,20048,1
33305207,555927,20121,5
33305208,552864,20161,0
33305209,554168,20106,4
33305210,555426,20134,5
33305211,554915,20019,5
33305212,553088,20065,4
33305213,552151,20272,2
33305214,552708,20256,5
33305215,551457,20145,0
33305216,555213,20273,0
33305217,553766,20100,0
33305218,553544,20186,1
33305219,554922,20131,3
33305220,553591,20062,5
33305221,554693,20159,4
33305222,554534,20279,3
33305223,555802,20094,3
33305224,555465,20038,5
33305225,553216,20259,4
33305226,552507,20018,3
33305227,552628,20149,0
33305228,553393,20169,1
33305229,553300,20010,5
33305230,552884,20003,4
33305231,554165,20017,1
33305232,552112,20093,5
33305233,555918,20059,1
33305234,553470,20285,0
33305235,553348,20140,4
33305236,552177,20162,3
33305237,553385,20105,0
33305238,554255,20034,3
33305239,555464,20283,0
33305240,553008,20292,0
33305241,554555,20105,1
33305242,554112,20185,5
33305243,554492,20259,1
33305244,555965,20176,4
33305245,554749,20280,3
33305246,551182,20265,2
33305247,554596,20268,2
33305248,553261,20156,0
33305249,555265,20169,4
33305250,555577,20220,1
33305251,554602,20020,3
33305252,553674,20191,4
33305253,553422,20077,5
33305254,553516,20281,2
33305255,554923,20058,2
33305256,555217,20232,2
33305257,554746,20190,3
33305258,553368,20092,0
33305259,554879,20290,3
33305260,555520,20034,1
33305261,555747,20186,5
33305262,554495,20111,2
33305263,555151,20210,5
33305264,554110,20025,5
33305265,553156,20101,0
33305266,553299,20239,2
33305267,552557,20194,5
33305268,553873,20192,5
33305269,552774,20022,1
33305270,554161,20255,5
33305271,555323,20195,3
33305272,551253,20090,2
33305273,555036,20210,5
33305274,554786,20198,1
33305275,554578,20289,3
33305276,551713,20298,0
33305277,554778,20077,1
33305278,551271,20087,3
33305279,555667,20138,0
33305280,554182,20242,3
33305281,552457,20101,0
33305282,555184,20094,0
33305283,555146,20227,2
33305284,553956,20171,3
33305285,554119,20049,2
33305286,553973,20174,5
33305287,555300,20100,4
33305288,555808,20111,4
33305289,555798,20075,5
33305290,555457,20215,2
33305291,551692,20202,0
33305292,551382,20297,0
33305293,552362,20083,2
33305294,553365,20027,1
33305295,551470,20110,4
33305296,553594,20008,1
33305297,553136,20140,3
33305298,553383,20037,3
33305299,551948,20278,5
33305300,553314,20281,3
33305301,552921,20042,2
33305302,555237,20130,4
33305303,555644,20148,4
33305304,553028,20153,3
33305305,553399,20242,4
33305306,553764,20071,3
33305307,555673,20017,2
33305308,554832,20152,4
33305309,554712,20103,1
33305310,554714,20113,5
33305311,553973,20052,0
33305312,553859,20149,3
33305313,551723,20067,0
33305314,555965,20227,3
33305315,554191,20051,2
33305316,552111,20049,3
33305317,553785,20183,2
33305318,552237,20204,1
33305319,552384,20197,5
33305320,553479,20272,0
33305321,552992,20055,4
33305322,551663,20046,2
33305323,554223,20136,4
33305324,554973,20277,5
33305325,551374,20248,3
33305326,552919,20027,3
33305327,553947,20152,3
33305328,555525,20298,0
33305329,551494,20038,4
33305330,551155,20194,0
33305331,555041,20214,0
33305332,555020,20254,1
33305333,555551,20065,2
33305334,555722,20094,1
33305335,553135,20067,4
33305336,554023,20243,4
33305337,555415,20031,3
33305338,555918,20163,3
33305339,552864,20110,5
33305340,552383,20093,3
33305341,551154,20250,0
33305342,553354,20259,2
33305343,555190,20181,2
33305344,554043,20267,2
33305345,555472,20049,3
33305346,553054,20148,3
33305347,554108,20219,4
33305348,555138,20300,4
33305349,555295,20134,3
33305350,552387,20283,3
33305351,554991,20113,4
33305352,551169,20097,1
33305353,551746,20184,1
33305354,553032,20114,2
33305355,552485,20271,4
33305356,552637,20112,4
33305357,554559,20093,4
33305358,551666,20172,1
33305359,554272,20048,1
33305360,551363,20018,1
33305361,554188,20025,0
33305362,555404,20035,1
33305363,551299,20294,0
33305364,554258,20156,1
33305365,552016,20029,3
33305366,551086,20281,5
33305367,554949,20215,5
33305368,555071,20007,5
33305369,555247,20275,3
33305370,554952,20118,2
33305371,551175,20001,1
33305372,554029,20195,3
33305373,555010,20057,4
33305374,553984,20168,2
33305375,555300,20009,2
33305376,553435,20118,3
33305377,551092,20173,4
33305378,553550,20135,5
33305379,551358,20119,3
33305380,554814,20113,5
33305381,551819,20267,5
33305382,553819,20287,3
33305383,554152,20139,0
33305384,552553,20192,1
33305385,555588,20150,0
33305386,555415,20024,5
33305387,551942,20245,3
33305388,554299,20178,0
33305389,553791,20168,2
33305390,553552,20298,5
33305391,553830,20238,3
33305392,553862,20040,3
33305393,555606,20232,0
33305394,554539,20283,5
33305395,555565,20164,2
33305396,551254,20241,0
33305397,552333,20226,1
33305398,555025,20135,0
33305399,555739,20053,0
33305400,551766,20129,5
33305401,552054,20086,4
33305402,554854,20208,3
33305403,551253,20025,2
33305404,555021,20003,1
33305405,554728,20124,5
33305406,551392,20085,1
33305407,552303,20284,0
33305408,555332,20297,1
33305409,552461,20174,1
33305410,555963,20281,1
33305411,554985,20016,4
33305412,553679,20118,4
33305413,552995,20209,0
33305414,552807,20190,0
33305415,551331,20144,2
33305416,555673,20174,1
33305417,554354,20247,4
33305418,555541,20097,0
33305419,555919,20091,5
33305420,552104,20092,4
33305421,553590,20295,1
33305422,555354,20015,3
33305423,553175,20110,0
33305424,555783,20182,2
33305425,551627,20257,0
33305426,552328,20092,0
33305427,554157,20152,0
33305428,554413,20239,1
33305429,555819,20226,4
33305430,553284,20019,5
33305431,552390,20098,1
33305432,551719,20247,4
33305433,553386,20291,5
33305434,553304,20112,0
33305435,551298,20090,5
33305436,555284,20009,3
33305437,553603,20266,4
33305438,551007,20080,4
33305439,555363,20043,5
33305440,555089,20128,3
33305441,551588,20188,2
33305442,555049,20097,4
33305443,551001,20278,5
33305444,551539,20056,2
33305445,552342,20216,5
33305446,552588,20245,4
33305447,551897,20067,2
33305448,553266,20024,4
33305449,553580,20174,0
33305450,553473,20031,3
33305451,555196,20178,1
33305452,552468,20066,1
33305453,554722,20026,5
33305454,555692,20090,0
33305455,553088,20254,0
33305456,554758,20294,4
33305457,552234,20193,0
33305458,552368,20101,2
33305459,552887,20059,5
33305460,553113,20025,2
33305461,553089,20032,1
33305462,553328,20073,1
33305463,555555,20177,0
33305464,551580,20296,4
33305465,554878,20148,3
33305466,554386,20261,2
33305467,555622,20196,5
33305468,552603,20024,5
33305469,554939,20145,5
33305470,551476,20054,5
33305471,554269,20076,2
33305472,552069,20102,3
33305473,552844,20180,3
33305474,555190,20278,3
33305475,554959,20214,3
33305476,552071,20242,3
33305477,552695,20220,0
33305478,551731,20252,4
33305479,552551,20151,0
33305480,551629,20045,1
33305481,551922,20180,5
33305482,553480,20297,5
33305483,554957,20217,0
33305484,554930,20212,0
33305485,555105,20280,4
33305486,552560,20040,5
33305487,554469,20060,1
33305488,554458,20185,2
33305489,553129,20084,1
33305490,554821,20228,0
33305491,555800,20191,0
33305492,555044,20201,4
33305493,554134,20044,5
33305494,552168,20291,0
33305495,555807,20243,2
33305496,554717,20178,2
33305497,554869,20014,4
33305498,551561,20150,1
33305499,552775,20021,5
33305500,554582,20018,2
33305501,553327,20003,0
33305502,553239,20162,3
33305503,553891,20207,0
33305504,551823,20253,5
33305505,552293,20099,3
33305506,551730,20178,3
33305507,555216,20160,0
33305508,553106,20223,2
33305509,551373,20032,1
33305510,554112,20076,5
33305511,552667,20111,5
33305512,551446,20030,2
33305513,554598,20257,1
33305514,555672,20255,1
33305515,553928,20020,2
33305516,555442,20250,4
33305517,552606,20066,2
33305518,552456,20157,5
33305519,552754,20207,0
33305520,554742,20130,4
33305521,555874,20141,0
33305522,552537,20289,4
33305523,555598,20178,5
33305524,553616,20055,4
33305525,551897,20256,2
33305526,551571,20192,4
33305527,551424,20112,3
33305528,553591,20054,3
33305529,552451,20110,5
33305530,552654,20170,5
33305531,553324,20289,3
33305532,552957,20200,1
33305533,555276,20109,1
33305534,555615,20085,5
33305535,555226,20290,0
33305536,551581,20239,4
33305537,555647,20065,1
33305538,552270,20020,1
33305539,552896,20035,3
33305540,553157,20023,4
33305541,551407,20056,0
33305542,551593,20039,0
33305543,554465,20041,3
33305544,553720,20017,4
33305545,552232,20261,1
33305546,554569,20223,2
33305547,553917,20020,5
33305548,551162,20009,4
33305549,553455,20031,1
33305550,555784,20295,5
33305551,554960,20221,2
33305552,554969,20177,1
33305553,552290,20238,2
33305554,553409,20045,1
33305555,554247,20048,1
33305556,552842,20248,0
33305557,551983,20246,0
33305558,554741,20131,3
33305559,553992,20172,2
33305560,553506,20249,2
33305561,551287,20143,4
33305562,554424,20221,1
33305563,552524,20226,5
33305564,552494,20036,0
33305565,555712,20295,2
33305566,552400,20057,4
33305567,555873,20217,1
33305568,555967,20004,5
33305569,553299,20066,5
33305570,552169,20189,1
33305571,555865,20204,5
33305572,553316,20036,4
33305573,553698,20061,0
33305574,552089,20033,1
33305575,552274,20101,3
33305576,553583,20136,1
33305577,552813,20284,2
33305578,551085,20191,2
33305579,554206,20030,0
33305580,553975,20241,4
33305581,554132,20138,3
33305582,555820,20258,4
33305583,553823,20044,3
33305584,555569,20272,2
33305585,555210,20250,0
33305586,554383,20177,5
33305587,552320,20283,4
33305588,555470,20140,2
33305589,554018,20119,2
33305590,552335,20002,2
33305591,551144,20093,3
33305592,553272,20053,3
33305593,554162,20102,0
33305594,552034,20141,4
33305595,553656,20136,1
33305596,555080,20005,3
33305597,555305,20061,4
33305598,553680,20045,0
33305599,555286,20214,4
33305600,552935,20177,4
33305601,552584,20262,4
33305602,551488,20227,0
33305603,552796,20244,4
33305604,552867,20171,5
33305605,552099,20277,1
33305606,553661,20173,0
33305607,552297,20028,0
33305608,555428,20204,2
33305609,554719,20111,1
33305610,554224,20295,4
33305611,552950,20008,3
33305612,553341,20284,5
33305613,554171,20001,0
33305614,555106,20114,2
33305615,554288,20220,2
33305616,555193,20237,4
33305617,555642,20295,4
33305618,554259,20037,5
33305619,552909,20033,2
33305620,553080,20040,2
33305621,552583,20023,5
33305622,553963,20101,1
33305623,551107,20021,5
33305624,554156,20152,1
33305625,552377,20248,2
33305626,553561,20067,5
33305627,555207,20297,2
33305628,555061,20183,5
33305629,555458,20299,2
33305630,554032,20207,0
33305631,551416,20212,1
33305632,555007,20042,0
33305633,551796,20300,5
33305634,551198,20273,1
33305635,551359,20199,4
33305636,552898,20087,5
33305637,554485,20138,5
33305638,554782,20184,1
33305639,555473,20111,2
33305640,552326,20108,3
33305641,552183,20083,2
33305642,552599,20005,2
33305643,552741,20176,1
33305644,553645,20090,0
33305645,554367,20251,0
33305646,555655,20278,3
33305647,553052,20043,5
33305648,552898,20217,5
33305649,553249,20053,4
33305650,553565,20129,5
33305651,553587,20218,3
33305652,554432,20252,0
33305653,553653,20177,2
33305654,554555,20290,4
33305655,551952,20283,4
33305656,551066,20181,1
33305657,552918,20278,5
33305658,553098,20191,2
33305659,554227,20265,3
33305660,552090,20271,0
33305661,553556,20097,4
33305662,551538,20136,2
33305663,555376,20003,3
33305664,552178,20117,0
33305665,555670,20059,1
33305666,555915,20210,1
33305667,555150,20062,0
33305668,553503,20300,4
33305669,551153,20249,4
33305670,553957,20078,0
33305671,553864,20210,3
33305672,552916,20155,3
33305673,553152,20116,4
33305674,555778,20274,3
33305675,552415,20076,0
33305676,554581,20026,5
33305677,551337,20193,0
33305678,552937,20114,2
33305679,553170,20003,0
33305680,553414,20275,3
33305681,551075,20119,1
33305682,554583,20280,0
33305683,555970,20267,5
33305684,553005,20095,0
33305685,554838,20023,4
33305686,555044,20009,2
33305687,552059,20024,4
33305688,554638,20154,5
33305689,555133,20286,3
33305690,551991,20103,4
33305691,554490,20003,2
33305692,552342,20271,2
33305693,553034,20276,4
33305694,555967,20108,4
33305695,553853,20273,0
33305696,553178,20285,0
33305697,555311,20165,5
33305698,554245,20235,4
33305699,554225,20112,2
33305700,554432,20238,1
33305701,552984,20034,0
33305702,555979,20005,1
33305703,555952,20114,0
33305704,553866,20268,2
33305705,555456,20064,5
33305706,552772,20232,4
33305707,554917,20296,2
33305708,555507,20285,4
33305709,554641,20294,3
33305710,552193,20092,4
33305711,555189,20040,5
33305712,554881,20244,2
33305713,554812,20263,0
33305714,555242,20188,2
33305715,553559,20058,1
33305716,555519,20125,3
33305717,552911,20126,1
33305718,554889,20058,5
33305719,552669,20002,4
33305720,553502,20154,1
33305721,551777,20272,1
33305722,552697,20032,2
33305723,553400,20226,1
33305724,553631,20184,4
33305725,552898,20207,4
33305726,555794,20023,1
33305727,554681,20091,4
33305728,554932,20134,0
33305729,553065,20056,3
33305730,555782,20146,5
33305731,555368,20299,0
33305732,551978,20103,3
33305733,552452,20266,3
33305734,554707,20206,2
33305735,553459,20133,5
33305736,552558,20244,0
33305737,552375,20220,4
33305738,555017,20222,2
33305739,555819,20063,3
33305740,554538,20150,4
33305741,553567,20045,4
33305742,552491,20218,1
33305743,555419,20016,2
33305744,553814,20112,5
33305745,553617,20030,4
33305746,552831,20007,1
33305747,553556,20299,0
33305748,553952,20271,1
33305749,554231,20144,2
33305750,555991,20044,4
33305751,553523,20135,2
33305752,553756,20204,3
33305753,555321,20214,0
33305754,554138,20246,0
33305755,554607,20045,0
33305756,553219,20182,5
33305757,552875,20087,4
33305758,552368,20220,4
33305759,553979,20112,5
33305760,553679,20198,5
33305761,551158,20100,5
33305762,553817,20020,0
33305763,552938,20235,1
33305764,555606,20005,0
33305765,554511,20203,0
33305766,553960,20237,1
33305767,555117,20032,5
33305768,551803,20255,2
33305769,551745,20281,5
33305770,554581,20110,0
33305771,554086,20003,2
33305772,552008,20174,0
33305773,552215,20053,3
33305774,554534,20050,0
33305775,552343,20230,1
33305776,553303,20258,0
33305777,555116,20192,3
33305778,551304,20249,0
33305779,552776,20263,2
33305780,554405,20035,1
33305781,554487,20135,2
33305782,555951,20028,4
33305783,551522,20185,2
33305784,552170,20049,4
33305785,553399,20127,5
33305786,555714,20070,0
33305787,554390,20206,4
33305788,555970,20121,4
33305789,553833,20117,3
33305790,552621,20157,0
33305791,555477,20282,0
33305792,553814,20009,1
33305793,551497,20095,3
33305794,554165,20089,4
33305795,555466,20020,1
33305796,555809,20082,2
33305797,552813,20158,2
33305798,554322,20015,0
33305799,554406,20165,1
33305800,551071,20023,3
33305801,553726,20047,5
33305802,551267,20059,0
33305803,552623,20151,2
33305804,555613,20148,0
33305805,553730,20229,0
33305806,554192,20120,0
33305807,555608,20075,3
33305808,553983,20181,5
33305809,551203,20257,2
33305810,553383,20206,5
33305811,553744,20143,5
33305812,555347,20235,5
33305813,554989,20116,4
33305814,552147,20283,3
33305815,555388,20078,0
33305816,555626,20085,5
33305817,554573,20136,2
33305818,555884,20207,0
33305819,552060,20033,2
33305820,555327,20155,4
33305821,551269,20230,3
33305822,553276,20018,0
33305823,552528,20012,1
33305824,553687,20207,5
33305825,552418,20256,3
33305826,553492,20238,1
33305827,554361,20082,0
33305828,552507,20071,1
33305829,555734,20213,2
33305830,555081,20280,4
33305831,555562,20003,5
33305832,553999,20177,4
33305833,553014,20111,1
33305834,555424,20055,0
33305835,551104,20237,2
33305836,553398,20147,3
33305837,555630,20169,1
33305838,555140,20105,5
33305839,555470,20106,5
33305840,553135,20048,0
33305841,552746,20137,4
33305842,552105,20284,1
33305843,552084,20287,0
33305844,553245,20239,5
33305845,555589,20151,1
33305846,554762,20020,2
33305847,551419,20033,3
33305848,555800,20141,0
33305849,551394,20279,5
33305850,554170,20114,5
33305851,554306,20059,4
33305852,552542,20121,5
33305853,552940,20135,0
33305854,554058,20219,4
33305855,555865,20255,4
33305856,551961,20033,1
33305857,552179,20154,4
33305858,554580,20017,4
33305859,555291,20100,2
33305860,552213,20034,4
33305861,555712,20141,1
33305862,553855,20256,2
33305863,555141,20145,0
33305864,551711,20259,1
33305865,551353,20095,5
33305866,555562,20075,0
33305867,555726,20299,0
33305868,551283,20116,1
33305869,553263,20263,2
33305870,553113,20199,5
33305871,551886,20170,4
33305872,551321,20122,3
33305873,551501,20186,3
33305874,553385,20254,5
33305875,555177,20145,4
33305876,554712,20029,1
33305877,552620,20034,1
33305878,555222,20205,0
33305879,552125,20237,2
33305880,552182,20116,2
33305881,554546,20236,5
33305882,553188,20185,0
33305883,555460,20297,2
33305884,555666,20161,1
33305885,555538,20040,2
33305886,555330,20148,5
33305887,554071,20085,3
33305888,553896,20232,1
33305889,552975,20241,0
33305890,554238,20279,5
33305891,554215,20177,3
33305892,551970,20004,2
33305893,552181,20280,5
33305894,554725,20124,2
33305895,551877,20282,0
33305896,551441,20115,2
33305897,552817,20132,5
33305898,552739,20030,2
33305899,555116,20012,0
33305900,553949,20300,1
33305901,552967,20155,2
33305902,554952,20182,4
33305903,553257,20157,4
33305904,552739,20140,4
33305905,552002,20068,2
33305906,553273,20199,3
33305907,551211,20235,5
33305908,554619,20216,3
33305909,552218,20015,5
33305910,554502,20198,0
33305911,552188,20140,5
33305912,552812,20046,5
33305913,555868,20175,1
33305914,555274,20220,5
33305915,554012,20130,5
33305916,551994,20183,1
33305917,555153,20089,5
33305918,553582,20282,0
33305919,551441,20073,5
33305920,552141,20097,1
33305921,551652,20030,1
33305922,551326,20168,3
33305923,554495,20270,4
33305924,554181,20226,3
33305925,554606,20053,1
33305926,554865,20200,0
33305927,554820,20148,0
33305928,551916,20170,4
33305929,552108,20158,4
33305930,555471,20114,3
33305931,555345,20229,0
33305932,555235,20108,5
33305933,552210,20167,5
33305934,551736,20047,0
33305935,552407,20058,1
33305936,555256,20243,5
33305937,555522,20243,4
33305938,554013,20259,4
33305939,552406,20179,2
33305940,551311,20263,4
33305941,555728,20065,0
33305942,551263,20020,5
33305943,555599,20151,2
33305944,553410,20121,1
33305945,555944,20112,5
33305946,554934,20114,1
33305947,551017,20146,3
33305948,552414,20180,0
33305949,551522,20155,5
33305950,555419,20217,3
33305951,552882,20224,5
33305952,555299,20019,3
33305953,552175,20227,1
33305954,553902,20087,0
33305955,551356,20064,4
33305956,553402,20189,2
33305957,555575,20039,5
33305958,551400,20088,3
33305959,554827,20271,2
33305960,553421,20245,3
33305961,552535,20020,3
33305962,551718,20165,2
33305963,554035,20219,2
33305964,555495,20014,5
33305965,551787,20189,2
33305966,555063,20162,2
33305967,555605,20260,4
33305968,554511,20245,5
33305969,554449,20018,1
33305970,555947,20251,5
33305971,551711,20284,5
33305972,552569,20185,2
33305973,552794,20274,1
33305974,555159,20260,0
33305975,553776,20195,0
33305976,553628,20150,3
33305977,553035,20062,0
33305978,551456,20034,2
33305979,554587,20189,4
33305980,554839,20157,0
33305981,551423,20005,5
33305982,555726,20207,2
33305983,553697,20107,3
33305984,554298,20185,5
33305985,554963,20037,3
33305986,552353,20282,1
33305987,553618,20246,1
33305988,553023,20006,1
33305989,551690,20096,2
33305990,555370,20136,4
33305991,552085,20283,0
33305992,555941,20166,0
33305993,554005,20243,4
33305994,552907,20038,3
33305995,555853,20118,5
33305996,555729,20058,4
33305997,552251,20024,2
33305998,554536,20105,1
33305999,553405,20156,0
33306000,555060,20001,4
